user_id,email,name,username,password,city_id,phone,role,created_at
1,kusumomelinda@example.org,"Drs. Raisa Oktaviani, S.I.Kom",bakionosusanti,aw0Ac_Gp*_,3172,+62 (30) 152-5578,seller,2024-01-22 19:47:05.261694
2,lasmono49@example.org,"Edi Prakasa, S.I.Kom",rajasakani,@0Xc&1Oq*r,1375,+62 (0580) 146 3294,bidder,2024-05-29 06:57:20.765331
3,sihombingopan@example.net,"drg. Cawuk Haryanti, S.I.Kom",hendri72,$6TPUTWlS9,1375,+62 (327) 936-5157,seller,2024-10-12 10:24:30.117671
4,puspasarilukita@example.net,"Eko Wijaya, S.Pt",nwinarno,6x+O^@H(!Y,3171,0864115907,bidder,2024-06-12 02:32:13.264261
5,kunthara82@example.org,"Ir. Gina Nuraini, S.Psi",taufiksalahudin,(WR7zt^wb4,3172,+62 (662) 808 1373,bidder,2024-01-15 07:53:14.380460
6,amelia30@example.net,Kamaria Andriani,maulanarahmat,#(4mGu1w#4,1375,+62-020-078-8864,seller,2024-07-18 12:00:15.449227
7,gandewanashiruddin@example.com,Calista Tampubolon,laksananapitupulu,E9D2bv+l%K,3174,0879977601,bidder,2024-10-08 21:29:53.614757
8,pranawausamah@example.org,Hj. Samiah Laksita,kasiran39,VC+8qqRvE9,3471,+62 (015) 922-3760,bidder,2024-06-21 11:52:32.317466
9,prayogo05@example.com,Leo Mustofa,pandunugroho,7+ZXRD*a!J,5171,+62-843-418-8677,both,2024-02-21 22:51:47.095932
10,anggriawanraharja@example.org,dr. Galuh Puspasari,kuswoyoeja,)Cq1xUxF26,6472,+62-20-636-8082,bidder,2024-05-16 16:34:27.807732
11,melanidarsirah@example.com,Digdaya Megantara,hutapeabaktiono,G%2kWevQqz,3175,+62 (011) 796 1663,both,2024-11-03 20:12:41.555972
12,dnapitupulu@example.org,"Cahya Firgantoro, M.Pd",leo79,$0gMOduFn9,3175,+62 (918) 389 0863,both,2024-10-10 21:01:12.434464
13,alambanalatupono@example.com,Ella Iswahyudi,yprakasa,Ag7Ke&OGp+,3573,+62-0923-914-5089,both,2024-01-19 05:55:06.268217
14,halimulya@example.org,"Bella Dabukke, M.TI.",arisnasyiah,gv3Xt+Wy^%,1371,+62 (59) 095-4979,bidder,2024-04-01 12:34:57.067453
15,prima03@example.com,Ida Pratiwi,puwais,$3MiNYmzuY,5171,+62 (080) 048-0059,seller,2024-01-27 23:11:59.703079
16,puspagunawan@example.com,Danuja Hakim,pangestuzaenab,5nWwj%&g&3,3172,+62-629-934-6028,bidder,2024-10-16 02:52:46.135832
17,mmandasari@example.net,"Tgk. Diana Utama, S.Gz",daru39,X@9D(xQZYs,3471,088 226 3179,both,2024-04-29 02:35:38.055562
18,lasmonohutasoit@example.net,Putri Hidayat,sihombingdarijan,@(M7Dlx6Wl,3174,(047) 776 0927,both,2024-04-19 21:30:37.603555
19,amirajata@example.com,Michelle Nasyiah,harjalatupono,UPe_9CMoj6,3471,+62 (023) 172-4215,both,2024-10-01 06:17:41.531588
20,xsalahudin@example.com,Timbul Sitorus,galangrahayu,7dfOtVga%+,7371,(0795) 263 0652,bidder,2024-06-03 00:35:41.976054
21,jaeman98@example.com,Maria Latupono,bpermadi,B^5hPnyG_+,1371,+62 (0482) 525 5613,both,2024-10-31 08:10:35.233363
22,lhutagalung@example.net,"Lala Ardianto, S.H.",sihombingcagak,+vZDiEXsd5,3172,+62-0641-604-6359,both,2024-10-13 11:28:27.041100
23,salwa60@example.org,Kiandra Suryatmi,gandewa02,yC2(9QsDh(,3171,(084) 011-3960,both,2024-04-15 20:06:55.953532
24,amarpaung@example.com,"Puti Yance Ramadan, S.Sos",wagerajata,N+6HMy)cel,3273,+62 (010) 741-7102,seller,2024-07-23 03:22:04.762153
25,ajanuar@example.net,"Carla Sitompul, S.Pd",uwinarno,0Rx1Bt6v+M,7371,+62 (002) 988 7398,seller,2024-03-01 00:42:53.023390
26,gatotsudiati@example.org,Drs. Nova Budiman,wardayanababan,$rG4DwbM&$,3578,+62-011-353-9433,bidder,2024-01-12 16:04:48.661282
27,dipaprasetya@example.org,Zalindra Nugroho,psamosir,uLZVVgp04^,6471,+62 (0478) 604 1036,seller,2024-02-18 22:19:23.674340
